id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396760978973364229,1396760978973364229,2021-05-24 15:02:22 India Standard Time,2021-05-24,15:02:22,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Drop a 👋 but I'll not do anything,en,[],[],[],34,0,139,[],[],https://twitter.com/curiousharish/status/1396760978973364229,False,,0,,,,,,,,[],,,,
1396692489445289988,1396477662936256512,2021-05-24 10:30:13 India Standard Time,2021-05-24,10:30:13,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@TeamClinify @momos27i Mine was randomly making a YouTube video about my college hostel room and unexpectedly seeing thousands of views,en,[],[],[],1,0,5,[],[],https://twitter.com/curiousharish/status/1396692489445289988,False,,0,,,,,,,,"[{'screen_name': 'momos27i', 'name': 'Vaibhav 🐼🐻', 'id': '1289820922245865473'}]",,,,
1396692306565074946,1396477662936256512,2021-05-24 10:29:29 India Standard Time,2021-05-24,10:29:29,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@SaspalManav @TeamClinify Are wah,en,[],[],[],0,0,3,[],[],https://twitter.com/curiousharish/status/1396692306565074946,False,,0,,,,,,,,"[{'screen_name': 'SaspalManav', 'name': 'Manav Saspal', 'id': '1263119299683614720'}]",,,,
1396005944673247236,1396005944673247236,2021-05-22 13:02:08 India Standard Time,2021-05-22,13:02:08,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,This was actually wild. Co-founder of Discord @svishnevskiy joined us for an event today 🚀,en,"[{'screen_name': 'svishnevskiy', 'name': 'stanislav', 'id': '22238139'}]",[],[],1,1,60,[],[],https://twitter.com/curiousharish/status/1396005944673247236,False,https://twitter.com/ZeusAbhijeet/status/1395991208841809920,0,,,,,,,,[],,,,
1395649727354441732,1395643398757838848,2021-05-21 13:26:39 India Standard Time,2021-05-21,13:26:39,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@kunksed True, even I noticed it",en,[],[],[],0,0,1,[],[],https://twitter.com/curiousharish/status/1395649727354441732,False,,0,,,,,,,,"[{'screen_name': 'kunksed', 'name': 'Raj Kunkolienkar 🦁', 'id': '105437895'}]",,,,
1394952143019278338,1394946948654714883,2021-05-19 15:14:42 India Standard Time,2021-05-19,15:14:42,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@anshuprasher  https://t.co/WKflOpbt3w  Hop onto our Discord,en,[],['https://www.clinify.in/discord'],[],0,0,4,[],[],https://twitter.com/curiousharish/status/1394952143019278338,False,,0,,,,,,,,"[{'screen_name': 'anshuprasher', 'name': 'Anshu Prasher', 'id': '27398074'}]",,,,
1394938094223126528,1394938094223126528,2021-05-19 14:18:53 India Standard Time,2021-05-19,14:18:53,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"Run the wildest experiments, you never know what'll work",en,[],[],[],4,3,102,[],[],https://twitter.com/curiousharish/status/1394938094223126528,False,,0,,,,,,,,[],,,,
1394937204728733696,1394934968044769282,2021-05-19 14:15:20 India Standard Time,2021-05-19,14:15:20,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@shryasbhurat this will only happen in America,en,[],[],[],1,0,3,[],[],https://twitter.com/curiousharish/status/1394937204728733696,False,,0,,,,,,,,"[{'screen_name': 'shryasbhurat', 'name': 'Shryas Bhurat', 'id': '940600258685321216'}]",,,,
1394934968044769282,1394934968044769282,2021-05-19 14:06:27 India Standard Time,2021-05-19,14:06:27,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Redbull has been selling the same product over years but their media wing is a beast!,en,[],[],[],5,0,83,[],[],https://twitter.com/curiousharish/status/1394934968044769282,False,,0,,,,,,,,[],,,,
1394934709835091971,1394662364692172800,2021-05-19 14:05:26 India Standard Time,2021-05-19,14:05:26,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@HarryKapoor19 @SinglaAnirudh Redbull has been the selling the same product over years but their media wing is the best I've seen,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1394934709835091971,False,,0,,,,,,,,"[{'screen_name': 'HarryKapoor19', 'name': 'Harry Kapoor', 'id': '274904409'}, {'screen_name': 'SinglaAnirudh', 'name': 'Anirudh Singla', 'id': '1246114784'}]",,,,
1394916104372297730,1394623868992593922,2021-05-19 12:51:30 India Standard Time,2021-05-19,12:51:30,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@theakshatsengar @TeamClinify 🍫 enjoy,en,[],[],[],1,0,1,[],[],https://twitter.com/curiousharish/status/1394916104372297730,False,,0,,,,,,,,"[{'screen_name': 'theakshatsengar', 'name': 'Akshat sengar', 'id': '942244694271987712'}]",,,,
1394884450740174854,1394884450740174854,2021-05-19 10:45:43 India Standard Time,2021-05-19,10:45:43,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,They're serious,en,[],[],[],7,0,26,[],[],https://twitter.com/curiousharish/status/1394884450740174854,False,https://twitter.com/bluelearn/status/1394623868992593922,0,,,,,,,,[],,,,
1394373165103554561,1394368783574192128,2021-05-18 00:54:03 India Standard Time,2021-05-18,00:54:03,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@krishnalohiaaa @TweepsYoung @Z1ndia How do you join them?,en,[],[],[],1,0,1,[],[],https://twitter.com/curiousharish/status/1394373165103554561,False,,0,,,,,,,,"[{'screen_name': 'krishnalohiaaa', 'name': 'Krishna Lohia', 'id': '1252620457385189377'}, {'screen_name': 'TweepsYoung', 'name': 'Young Tweeps', 'id': '1310132448873689088'}, {'screen_name': 'Z1ndia', 'name': 'India-Z', 'id': '1391737750450151428'}]",,,,
1394368783574192128,1394368783574192128,2021-05-18 00:36:38 India Standard Time,2021-05-18,00:36:38,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,What online communities are you part of?,en,[],[],[],29,0,68,[],[],https://twitter.com/curiousharish/status/1394368783574192128,False,,0,,,,,,,,[],,,,
1394268774337966097,1394219650234388482,2021-05-17 17:59:14 India Standard Time,2021-05-17,17:59:14,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@Yashvi_Dhruv @ZeusAbhijeet @TeamClinify  https://t.co/Mgg9sHA7pM,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/E1lwDhyUYAggLWq.jpg'],0,0,0,[],[],https://twitter.com/curiousharish/status/1394268774337966097,False,,1,https://pbs.twimg.com/tweet_video_thumb/E1lwDhyUYAggLWq.jpg,,,,,,,"[{'screen_name': 'Yashvi_Dhruv', 'name': 'Om Shanti', 'id': '1239635222175645696'}, {'screen_name': 'ZeusAbhijeet', 'name': 'Abhijeet Singh', 'id': '122089629'}]",,,,
1393871222807535621,1393871222807535621,2021-05-16 15:39:31 India Standard Time,2021-05-16,15:39:31,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Just knowing the right API to use can save thousands of hours of manual work. Dabbling with Zoom and Razorpay APIs.,en,[],[],[],1,1,36,[],[],https://twitter.com/curiousharish/status/1393871222807535621,False,,0,,,,,,,,[],,,,
1393870728169025538,1393635126047744001,2021-05-16 15:37:33 India Standard Time,2021-05-16,15:37:33,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@TeamClinify  https://t.co/qlHfEHmwCh,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/E1gGB3DVUAYSxPm.jpg'],0,0,2,[],[],https://twitter.com/curiousharish/status/1393870728169025538,False,,1,https://pbs.twimg.com/tweet_video_thumb/E1gGB3DVUAYSxPm.jpg,,,,,,,[],,,,
1393870470907273220,1393869510352916481,2021-05-16 15:36:31 India Standard Time,2021-05-16,15:36:31,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@Rahul_J_Mathur -Saving thousands of hours,en,[],[],[],1,0,12,[],[],https://twitter.com/curiousharish/status/1393870470907273220,False,,0,,,,,,,,"[{'screen_name': 'Rahul_J_Mathur', 'name': 'Rahul Mathur', 'id': '3115134108'}]",,,,
